timestamp,satellite_1,satellite_2,x1_km,y1_km,z1_km,vx1_km_s,vy1_km_s,vz1_km_s,x2_km,y2_km,z2_km,vx2_km_s,vy2_km_s,vz2_km_s,miss_distance_km,relative_velocity_kms,risk_class
2025-06-29 13:51:50.839280,COSMOS 2455,04764U,-6410.757167567805,-2940.2379090402023,1826.810464994359,-0.311886915405942,-3.406380274029074,-6.559135138383141,-6408.793375873551,-2636.6931876494814,1659.5111574049458,1.11635821177173,1.8345576280402929,7.1770743484767925,346.601086,14.771282,NEGLIGIBLE
2025-06-29 14:42:50.839280,COSMOS 2455,04764U,6398.147452737666,2810.281340285073,-2051.1627141089066,0.5396942882196825,3.506819701841982,6.493972401147096,6369.530928786571,2545.5836883002685,-2083.680914613914,-1.4967266769037613,-1.9819084681701256,-7.019901019228422,268.218541,14.727455,NEGLIGIBLE
2025-06-29 15:33:50.839280,COSMOS 2455,04764U,-6384.281127388001,-2691.0037105588813,2252.771795683861,-0.7556827315258215,-3.5953931537654817,-6.420688376877258,-6246.241066077696,-2432.9315149541726,2414.1571401446213,1.85977273170564,2.135445395847835,6.936290558496561,334.217812,14.767938,NEGLIGIBLE
2025-06-29 16:23:50.839280,COSMOS 2455,04764U,6285.606525374204,2329.051818867673,-2847.917504665565,1.374388922842818,3.8375740777027176,6.175107788291323,6288.680800738625,2458.3079714045884,-2409.5528470511726,-1.8147049891639169,-2.110917510780759,-6.905758620170207,457.034109,14.719509,NEGLIGIBLE
2025-06-29 16:24:50.839280,COSMOS 2455,04764U,6356.344236752136,2554.838017811406,-2472.338544829184,0.9827907581663252,3.686290034114472,6.340318750008568,6167.623346317894,2326.9487138351524,-2818.9236236906004,-2.219231594808059,-2.266321973194043,-6.7355215387952185,455.708598,14.719515,NEGLIGIBLE
2025-06-29 17:14:50.839280,COSMOS 2455,04764U,-6244.446057831593,-2199.7843725441576,3038.7320608341693,-1.5863043643222363,-3.909071221888036,-6.076597412996991,-6148.498215596407,-2338.279429465167,2735.933328597124,2.176854110986543,2.261348908650504,6.802969494861035,346.51687,14.768842,NEGLIGIBLE
2025-06-29 18:05:50.839280,COSMOS 2455,04764U,6187.814810938476,2053.5058155644933,-3246.4174491347635,1.8086747993574348,3.981144070639549,5.968214047283892,6053.520414589511,2226.305736215749,-3130.6384613983496,-2.525572030636916,-2.384806703242807,-6.584484657127348,247.587503,14.726889,NEGLIGIBLE
2025-06-29 18:56:50.839280,COSMOS 2455,04764U,-6132.448098998173,-1919.9992225433912,3430.3637134704923,-2.017250918217958,-4.043014665914549,-5.857129021611678,-5874.984166682809,-2090.3880150327013,3443.9547791312984,2.8824355452770924,2.5258307617212856,6.437704840446048,309.038402,14.775642,NEGLIGIBLE
2025-06-29 19:47:50.839280,COSMOS 2455,04764U,6060.909804391618,1769.5448529654584,-3630.4686918887087,2.235620052808924,4.104414857607701,5.734831411763704,5744.405885139508,1966.1272996716111,-3813.055985100424,-3.204188064641768,-2.631015326006113,-6.182075240145181,414.918677,14.729908,NEGLIGIBLE
2025-06-29 13:39:50.839280,COSMOS 2455,12742U,-4567.239802610333,51.13287630027759,5670.875009856234,-4.5776359298466245,-4.52929807972583,-3.6387225905420895,-4396.128397635796,-320.2422105165168,5925.699631066182,5.870014101401868,-1.0852097211326022,4.259322203586267,481.803026,13.542313,NEGLIGIBLE
2025-06-29 14:31:50.839280,COSMOS 2455,12742U,4683.540355910948,57.05700732176421,-5577.835246756768,4.457896466361303,4.521111949994029,3.790530737038576,4440.979916921627,303.51298559078896,-5841.857563396544,-5.817844867359524,1.0999328572854523,-4.395428915241142,435.067695,13.575907,NEGLIGIBLE
2025-06-29 15:23:50.839280,COSMOS 2455,12742U,-4809.702661884985,-180.55758776934283,5464.409639678581,-4.328680263583737,-4.512136404583686,-3.9514592431693463,-4699.729750273377,-258.18103755905423,5692.9617596109,5.632382075273754,-1.1056748532047052,4.562410892290618,265.246136,13.539303,NEGLIGIBLE
2025-06-29 16:15:50.839280,COSMOS 2455,12742U,4919.659614621737,287.815709979452,-5363.255876461446,4.202735270264605,4.498292915784897,4.0976212009970885,4741.448424757567,240.7162693871426,-5602.286390385791,-5.573796447224089,1.1196722220618718,-4.698908344176458,301.849585,13.57846,NEGLIGIBLE
2025-06-29 17:07:50.839280,COSMOS 2455,12742U,-5038.960203002087,-410.2670292331662,5241.2570920973285,-4.066397819848928,-4.482823166875078,-4.252174585269577,-4990.335497768839,-194.85317402027684,5444.570471542515,5.379332861207799,-1.122643338168004,4.852873273534589,300.172986,13.543062,NEGLIGIBLE
2025-06-29 17:59:50.839280,COSMOS 2455,12742U,5142.240831358036,516.307533191022,-5132.30694733406,3.934559387967514,4.463404333262307,4.392294468619433,5028.575656472908,176.69795860047566,-5347.060765374037,-5.313994231462572,1.1358285729561195,-4.98948528364568,417.580696,13.587726,NEGLIGIBLE
2025-06-29 13:23:50.839280,COSMOS 2455,29798U,1165.2184193057567,3721.260668791541,6146.463598354196,-6.405390741694072,-2.502251180784788,2.7280995625599083,863.456019176544,3751.033309826728,6201.174179262651,3.5522039617839463,5.347436096522777,-3.6299684147481153,308.123683,14.184369,NEGLIGIBLE
2025-06-29 15:06:50.839280,COSMOS 2455,29798U,1212.475011140452,3731.574573901747,6131.0617297523295,-6.406055057638919,-2.4612570416500845,2.763664503999659,859.0229073656419,3752.697081368335,6201.100211117808,3.545213938557943,5.351376112073382,-3.630441484639945,360.943124,14.175669,NEGLIGIBLE
