timestamp,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,name
2025-06-29T06:48:09.437194,339.8115546868768,-4080.9052008674826,6313.667749471445,-2.232409639807418,-5.810479062951114,-3.8444769662830836,14469U
2025-06-29T06:49:09.437194,205.36933173462978,-4422.482267876906,6072.495188156769,-2.2477002610884864,-5.571969887929762,-4.192682900652854,14469U
2025-06-29T06:50:09.437194,70.23448789382634,-4749.149932431383,5810.803918160004,-2.255463491574756,-5.313588904384867,-4.528217135200903,14469U
2025-06-29T06:51:09.437194,-65.13847579082827,-5059.737667676877,5529.3931111026,-2.2556066507287684,-5.0360756178035775,-4.8497831246638174,14469U
2025-06-29T06:52:09.437194,-200.2903217889134,-5353.1219024674565,5229.138794963318,-2.248065072645762,-4.740256945631579,-5.156116017828449,14469U
2025-06-29T06:53:09.437194,-334.75879188856396,-5628.2312344989505,4910.991748852518,-2.2328033603289508,-4.427046200801087,-5.445989793990654,14469U
2025-06-29T06:54:09.437194,-468.0803947694581,-5884.051564978479,4575.974966184228,-2.2098165065596356,-4.097441405624689,-5.718224541710234,14469U
2025-06-29T06:55:09.437194,-599.792256809239,-6119.631113795027,4225.180679258698,-2.1791308575123907,-3.752522901077883,-5.971693807129721,14469U
2025-06-29T06:56:09.437194,-729.4340261477419,-6334.085272176215,3859.766942810226,-2.1408048958748926,-3.39345022572278,-6.205331931325522,14469U
2025-06-29T06:57:09.437194,-856.5498186370177,-6526.601248423319,3480.9537790874692,-2.094929821449663,-3.021458249214802,-6.418141289559104,14469U
2025-06-29T06:58:09.437194,-980.690192990835,-6696.442461600825,3090.018892439934,-2.0416299090620242,-2.6378525572993974,-6.609199340204187,14469U
2025-06-29T06:59:09.437194,-1101.4141412561496,-6842.9526381003525,2688.292967085728,-1.9810626260736783,-2.2440040981946505,-6.777665387831329,14469U
2025-06-29T07:00:09.437194,-1218.291079700219,-6965.559566862612,2277.154567615352,-1.913418494880802,-1.8413431139575864,-6.9227869636789,14469U
