timestamp,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,name
2025-06-29T12:32:04.864997,4073.44924111802,626.8807218234633,6043.375452170935,6.074152657340319,-1.0739932610368896,-3.98073361810167,30567U
2025-06-29T12:33:04.864997,4430.230241250445,561.335777684645,5793.60515101979,5.815023110125928,-1.110201450648319,-4.3423489284048,30567U
2025-06-29T12:34:04.864997,4770.817297484564,493.73917672196734,5522.604797976065,5.5345247399029835,-1.14236598145544,-4.688200219512278,30567U
2025-06-29T12:35:04.864997,5093.95717987395,424.3371385878626,5231.3578725831685,5.233630410554278,-1.1703690764978503,-5.017044423932906,30567U
2025-06-29T12:36:04.864997,5398.457182748533,353.3825430549045,4920.920857362668,4.9133837533260944,-1.1941064193603161,-5.327691299327909,30567U
2025-06-29T12:37:04.864997,5683.189296094894,281.1341094305197,4592.419946307499,4.574896781185492,-1.2134875780319139,-5.619007365041595,30567U
2025-06-29T12:38:04.864997,5947.09422631241,207.85555129800818,4247.047518372443,4.21934727657342,-1.2284364105799621,-5.889919830630511,30567U
2025-06-29T12:39:04.864997,6189.185252462484,133.81470779122344,3886.058377069978,3.847975934577856,-1.2388914487900555,-6.139420500156214,30567U
2025-06-29T12:40:04.864997,6408.5519031374515,59.282652840959045,3510.765758297945,3.4620832455511517,-1.2448062555244623,-6.366569632435242,30567U
2025-06-29T12:41:04.864997,6604.363438204461,-15.467215915913354,3122.5371097445372,3.063026103740301,-1.2461497512427013,-6.570499734191496,30567U
2025-06-29T12:42:04.864997,6775.872118960675,-90.1601066044926,2722.78964661589,2.6522141315276886,-1.242906504918105,-6.750419260208176,30567U
2025-06-29T12:43:04.864997,6922.416249694201,-164.52077871644883,2312.98568999095,2.2311057123286133,-1.2350769844773164,-6.905616192194017,30567U
2025-06-29T12:44:04.864997,7043.422973306262,-238.274502324962,1894.627795799981,1.8012037289810643,-1.2226777618890128,-7.0354614662186865,30567U
2025-06-29T12:45:04.864997,7138.410803531387,-311.1480280986604,1469.2536842202528,1.3640510085129227,-1.2057416681344661,-7.139412217279221,30567U
2025-06-29T12:46:04.864997,7206.991876411866,-382.8705650248239,1038.4309811498279,0.9212254783874584,-1.1843178935035827,-7.217014808866509,30567U
2025-06-29T12:47:04.864997,7248.8739040485225,-453.1747624867556,603.7517853267433,0.4743350436190757,-1.158472028972021,-7.2679076153258535,30567U
2025-06-29T12:48:04.864997,7263.861814268428,-521.7976930930683,166.82707656910765,0.025012198419140534,-1.128286044820992,-7.291823525353445,30567U
2025-06-29T12:49:04.864997,7251.8590607208835,-588.4818324341944,-270.7190175148381,-0.4250916098204383,-1.0938582031523043,-7.288592136129764,30567U
2025-06-29T12:50:04.864997,7212.868589029779,-652.976031747767,-707.2550771926882,-0.8743118424623151,-1.055302901516331,-7.258141609335171,30567U
2025-06-29T12:51:04.864997,7146.993445982087,-715.0364793152211,-1141.1483477975107,-1.3209769321024019,-1.0127504454963308,-7.200500162581491,30567U
2025-06-29T12:52:04.864997,7054.437020301687,-774.4276462897536,-1570.7707760276933,-1.7634145169688697,-0.9663467487644459,-7.115797172568986,30567U
2025-06-29T12:53:04.864997,6935.502905322756,-830.9232125746505,-1994.5051015502208,-2.1999578158252033,-0.9162529598265312,-7.004263869472436,30567U
2025-06-29T12:54:04.864997,6790.594375811426,-884.306968332025,-2410.750978901973,-2.6289521096821424,-0.8626450153878373,-6.866233605590926,30567U
2025-06-29T12:55:04.864997,6620.213473256973,-934.3736867070329,-2817.9311037009797,-3.048761294901611,-0.80571312098209,-6.702141685072271,30567U
2025-06-29T12:56:04.864997,6424.959696131717,-980.9299634009225,-3214.4973164279477,-3.457774471135889,-0.7456611601957688,-6.512524745447218,30567U
2025-06-29T12:57:04.864997,6205.52829386507,-1023.7950188172456,-3598.936656530766,-3.854412526997694,-0.6827060344708099,-6.298019685677291,30567U
2025-06-29T12:58:04.864997,5962.708165556455,-1062.8014586366367,-3969.7773393415887,-4.237134686385911,-0.617076936067935,-6.059362139332025,30567U
2025-06-29T12:59:04.864997,5697.379366726353,-1097.7959888439068,-4325.594628278271,-4.604444978968866,-0.5490145573061945,-5.797384495266134,30567U
2025-06-29T13:00:04.864997,5410.510229640308,-1128.6400814325355,-4665.016575018042,-4.954898599399228,-0.4787702396520041,-5.513013471673326,30567U
2025-06-29T13:01:04.864997,5103.154104905347,-1155.2105872415646,-4986.729600767732,-5.287108121334125,-0.4066050666054209,-5.20726725257052,30567U
2025-06-29T13:02:04.864997,4776.445734103145,-1177.4002926325577,-5289.483892390298,-5.599749534176287,-0.33278890461938415,-4.88125219854795,30567U
2025-06-29T13:03:04.864997,4431.597265167931,-1195.1184169849012,-5572.098587956859,-5.891568072540339,-0.25759939648856434,-4.536159145961122,30567U
2025-06-29T13:04:04.864997,4069.8939240212894,-1208.2910482697878,-5833.466727249028,-6.161383810678422,-0.1813209117627727,-4.173259310612129,30567U
2025-06-29T13:05:04.864997,3692.6893576322454,-1216.8615142519375,-6072.559943806052,-6.408096996361613,-0.10424345878299127,-3.793899813369643,30567U
2025-06-29T13:06:04.864997,3301.4006651761647,-1220.7906871581336,-6288.432876265038,-6.630693100901246,-0.026661562917693768,-3.399498846129505,30567U
2025-06-29T13:07:04.864997,2897.503135323472,-1220.0572199385692,-6480.2272779499335,-6.8282475640076115,0.05112688449239875,-2.991540497066094,30567U
2025-06-29T13:08:04.864997,2482.524708913316,-1214.657712528072,-6647.1758048976735,-6.999930213932595,0.1288218020743916,-2.5715692543395945,30567U
2025-06-29T13:09:04.864997,2058.0401873715573,-1204.6068067863255,-6788.605463746404,-7.14500934476029,0.20612211495556798,-2.1411842073904355,30567U
2025-06-29T13:10:04.864997,1625.6652082438993,-1189.9372090592542,-6903.940702132123,-7.262855433744282,0.28272696770303496,-1.7020329647784604,30567U
2025-06-29T13:11:04.864997,1187.0500101554223,-1170.6996395574067,-6992.706125437186,-7.3529444822237755,0.3583369495667749,-1.2558053073228426,30567U
