timestamp,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,name
2025-06-28T06:23:33.971409,-2439.8857263011523,-25338.44487321005,-158.13936385764347,1.683530175585771,-0.13525516706210727,-3.582742845767997,COSMOS 1989 (ETALON 1)
2025-06-28T06:24:33.971409,-2338.769811245604,-25345.45782777433,-373.09364323804533,1.6869947304754218,-0.0985095845379807,-3.582357599783545,COSMOS 1989 (ETALON 1)
2025-06-28T06:25:33.971409,-2237.4504181400243,-25350.265744485336,-588.0154542600686,1.6903126242518194,-0.061754291408162555,-3.5816606105067494,COSMOS 1989 (ETALON 1)
2025-06-28T06:26:33.971409,-2135.936355662761,-25352.86813722194,-802.8860934544111,1.6934835573755038,-0.024992505300551592,-3.5806519198051476,COSMOS 1989 (ETALON 1)
2025-06-28T06:27:33.971409,-2034.236450075296,-25353.26471295134,-1017.6868606931874,1.6965072433027713,0.011772555191654967,-3.579331597197784,COSMOS 1989 (ETALON 1)
2025-06-28T06:28:33.971409,-1932.3595444416212,-25351.455371778186,-1232.3990608490496,1.6993834085148387,0.04853767080292901,-3.5776997398553987,COSMOS 1989 (ETALON 1)
2025-06-28T06:29:33.971409,-1830.3144978458042,-25347.44020697611,-1447.004005454479,1.7021117925457712,0.08529962188861555,-3.5757564725979503,COSMOS 1989 (ETALON 1)
2025-06-28T06:30:33.971409,-1728.11018460808,-25341.21950500172,-1661.4830143602912,1.704692148009173,0.12205518871821101,-3.573501947889481,COSMOS 1989 (ETALON 1)
2025-06-28T06:31:33.971409,-1625.755493499397,-25332.79374549096,-1875.8174173940968,1.7071242406236091,0.15880115176882267,-3.570936345830309,COSMOS 1989 (ETALON 1)
2025-06-28T06:32:33.971409,-1523.259326954142,-25322.163601237804,-2089.9885560185744,1.7094078492368003,0.19553429201880157,-3.568059874146562,COSMOS 1989 (ETALON 1)
2025-06-28T06:33:33.971409,-1420.6306002818508,-25309.329938155435,-2303.9777849882885,1.7115427658485474,0.23225139124131433,-3.5648727681770325,COSMOS 1989 (ETALON 1)
2025-06-28T06:34:33.971409,-1317.878240877504,-25294.293815219746,-2517.766474005992,1.7135287956323935,0.2689492322980088,-3.5613752908573812,COSMOS 1989 (ETALON 1)
2025-06-28T06:35:33.971409,-1215.0111874301626,-25277.056484395158,-2731.336009378354,1.7153657569560368,0.3056245994327752,-3.5575677327016524,COSMOS 1989 (ETALON 1)
2025-06-28T06:36:33.971409,-1112.038389131139,-25257.619390543005,-2944.6677956693698,1.7170534814004672,0.34227427856527753,-3.5534504117811436,COSMOS 1989 (ETALON 1)
2025-06-28T06:37:33.971409,-1008.9688048803526,-25235.984171312062,-3157.7432573536776,1.7185918137778406,0.37889505758465114,-3.5490236737005905,COSMOS 1989 (ETALON 1)
2025-06-28T06:38:33.971409,-905.8114024919189,-25212.15265701161,-3370.543840467822,1.7199806121480807,0.41548372664301625,-3.544287891571683,COSMOS 1989 (ETALON 1)
2025-06-28T06:39:33.971409,-802.5751578991295,-25186.126870466935,-3583.0510142592543,1.7212197478342015,0.45203707844876784,-3.539243465983944,COSMOS 1989 (ETALON 1)
2025-06-28T06:40:33.971409,-699.2690543579254,-25157.909026857018,-3795.246272834644,1.7223091054363675,0.4885519085599128,-3.5338908249729117,COSMOS 1989 (ETALON 1)
2025-06-28T06:41:33.971409,-595.9020816499515,-25127.501533534865,-4007.1111368055,1.723248582844663,0.5250250156771014,-3.528230423985678,COSMOS 1989 (ETALON 1)
2025-06-28T06:42:33.971409,-492.4832352848204,-25094.906989830153,-4218.627154931677,1.7240380912505893,0.5614532019364503,-3.5222627458437614,COSMOS 1989 (ETALON 1)
2025-06-28T06:43:33.971409,-389.0215157017374,-25060.128186834245,-4429.775905762756,1.7246775551572715,0.5978332732021475,-3.5159883007033352,COSMOS 1989 (ETALON 1)
2025-06-28T06:44:33.971409,-285.52592747048396,-25023.168107167854,-4640.538999276792,1.7251669123883906,0.6341620393587526,-3.509407626012787,COSMOS 1989 (ETALON 1)
2025-06-28T06:45:33.971409,-182.00547849188885,-24984.029924730927,-4850.898078516753,1.7255061140958312,0.6704363146032407,-3.5025212864676294,COSMOS 1989 (ETALON 1)
2025-06-28T06:46:33.971409,-78.46917919805551,-24942.717004435246,-5060.834821223623,1.7256951247660293,0.7066529177366098,-3.4953298739627843,COSMOS 1989 (ETALON 1)
2025-06-28T06:47:33.971409,25.073958248001833,-24899.232901919375,-5270.330941467199,1.7257339222250445,0.7428086724552218,-3.4878340075422005,COSMOS 1989 (ETALON 1)
2025-06-28T06:48:33.971409,128.61492075283292,-24853.581363246238,-5479.368191273282,1.7256224976423495,0.778900407641658,-3.480034333345844,COSMOS 1989 (ETALON 1)
2025-06-28T06:49:33.971409,232.1446950931282,-24805.76632458324,-5687.928362247759,1.7253608555333058,0.8149249576551528,-3.4719315245540665,COSMOS 1989 (ETALON 1)
2025-06-28T06:50:33.971409,335.65426871672156,-24755.791911864882,-5895.993287197553,1.7249490137603722,0.8508791626216206,-3.4635262813293175,COSMOS 1989 (ETALON 1)
2025-06-28T06:51:33.971409,439.1346305433549,-24703.662440438136,-6103.544841747596,1.7243870035330167,0.8867598687231051,-3.4548193307552624,COSMOS 1989 (ETALON 1)
2025-06-28T06:52:33.971409,542.5767717653251,-24649.382414690386,-6310.564945954099,1.7236748694063275,0.9225639284867051,-3.4458114267732842,COSMOS 1989 (ETALON 1)
2025-06-28T06:53:33.971409,645.9716866484403,-24592.95652766001,-6517.035565914382,1.7228126692783436,0.9582882010730164,-3.436503350116337,COSMOS 1989 (ETALON 1)
2025-06-28T06:54:33.971409,749.3103733321797,-24534.38966062982,-6722.938715371955,1.7218004743860962,0.993929552563857,-3.4268959082402577,COSMOS 1989 (ETALON 1)
2025-06-28T06:55:33.971409,852.583834630135,-24473.686882703045,-6928.256457318114,1.7206383693003369,1.0294848562494905,-3.4169899352524182,COSMOS 1989 (ETALON 1)
2025-06-28T06:56:33.971409,955.7830788297773,-24410.853450362272,-7132.970905588698,1.7193264519190108,1.0649509929151122,-3.4067862918378307,COSMOS 1989 (ETALON 1)
2025-06-28T06:57:33.971409,1058.899120491781,-24345.89480701119,-7337.064226456413,1.7178648334594027,1.100324851126658,-3.396285865182657,COSMOS 1989 (ETALON 1)
2025-06-28T06:58:33.971409,1161.9229812490742,-24278.81658249909,-7540.5186402187055,1.7162536384490186,1.1356033275159383,-3.38548956889514,COSMOS 1989 (ETALON 1)
